ticker,bucket,score,annual_fee_rate,sector,current_weight_total,target_weight_final,weight_gap,current_market_value,target_market_value,order_value,effective_order_value,action,shares_est,brokerage_est,ttf_est,spread_est,total_cost_est,expected_holding_months,expected_gross_alpha_horizon,required_net_alpha_horizon,roundtrip_cost_ratio,expected_net_alpha_horizon,alpha_surplus,mom12_ex1,ret_6m,ret_3m,ret_20d,vol60,vol20,dd_6m,dist_ma200,dist_ma20,rsi14,breadth_ma200,breadth_slope,benchmark_ret_3m,benchmark_ret_6m,execute,decision_reason,trade_quality_score,trade_quality_signal,trade_quality_proba,trade_quality_label,trade_quality_overlay_applied,rebalance_overlay_applied,rebalance_score,rebalance_signal,rebalance_proba,rebalance_label,ml_trade_quality_edge,ml_rebalance_edge,deployment_ml_signal,deployment_ml_proba,core_deployment_multiplier_ml,opp_deployment_multiplier_ml,deployment_regime_ml,date,signal_date
EDEN.PA,core,1.1932677739771802,0.0,Financials,0.08502031162261962,0.09772925447845898,0.012708942855839359,4251.015581130981,4886.462723922949,635.447142791968,622.7602443695068,BUY,23,0.6227602443695068,1.8682807331085205,0.3113801221847534,2.802421099662781,10.0,0.09730364340766777,0.04583333333333334,0.013500000000000002,0.08380364340766777,0.037970310074334435,0.3911500819755609,0.20172160342425194,-0.0165391191485752,-0.03948558755336773,0.3337249710714359,0.4280984680584847,-0.0987932813403295,0.047423570370446866,-0.005466701749425984,50.38759099697706,0.17391304347826086,0.36231884057971014,-0.14823927371371273,-0.11449667076820906,False,REJECT_DEADBAND,,,,,False,True,-0.019071275705842772,0.3092872429415723,0.3092872429415723,0,,-0.019071275705842772,0.0,0.5,1.0,1.0,neutral,2019-01-02,2018-12-31
ESE.PA,monetary,-0.02510749130095591,0.0014,Unknown,0.15161699295043946,0.1402716470956981,-0.011345345854741368,7580.849647521973,7013.582354784904,-567.2672927370686,566.0367736816406,SELL,56,0.5660367736816406,0.0,0.5660367736816406,1.1320735473632813,18.0,0.08714677526097131,0.06,0.004,0.0831467752609713,0.02314677526097131,0.07522089467417192,-0.05294423438753526,-0.13104949481262607,-0.08595091396141363,0.21218879293975193,0.2785873590761216,-0.13497172107768796,-0.06344894855638994,-0.03983706752622529,35.657233687491996,0.17391304347826086,0.36231884057971014,-0.14823927371371273,-0.11449667076820906,False,REJECT_DEADBAND,,,,,False,True,-0.01047977362336679,0.3952022637663321,0.3952022637663321,0,,-0.01047977362336679,0.0,0.5,1.0,1.0,neutral,2019-01-02,2018-12-31
ETDD.PA,monetary,-0.13281518672064285,0.001,Unknown,0.14826240142822267,0.13711248454734215,-0.011149916880880517,7413.120071411133,6855.624227367108,-557.495844044025,554.4000053405762,SELL,70,0.5544000053405762,0.0,0.5544000053405762,1.1088000106811524,18.0,0.08451554439838072,0.06,0.004,0.08051554439838071,0.020515544398380714,-0.08697111516842804,-0.10841823713714283,-0.11293544849989379,-0.04696072873900281,0.16360619635438917,0.20808043203044088,-0.13993762803747123,-0.09315911551023481,-0.013472858776682695,45.488027040092526,0.17391304347826086,0.36231884057971014,-0.14823927371371273,-0.11449667076820906,False,REJECT_DEADBAND,,,,,False,True,-0.010477533750660387,0.39522466249339616,0.39522466249339616,0,,-0.010477533750660387,0.0,0.5,1.0,1.0,neutral,2019-01-02,2018-12-31
GET.PA,core,0.5649008799992062,0.0,Industrials,0.03597671621322632,0.04132641249570974,0.00534969628248342,1798.835810661316,2066.320624785487,267.48481412417095,259.9473714828491,BUY,25,0.25994737148284913,0.7798421144485473,0.25994737148284913,1.2997368574142456,10.0,0.07897627566664352,0.04583333333333334,0.015,0.06397627566664352,0.01814294233331018,0.06590001373024879,-0.0038218540818337754,0.06830583716243388,0.02177691807560822,0.2367648350263462,0.27382866441258236,-0.022907347428481994,0.03433868673114482,0.027145143876415645,64.38349055285656,0.17391304347826086,0.36231884057971014,-0.14823927371371273,-0.11449667076820906,False,REJECT_SMALL_ORDER,,,,,False,True,-0.010175719746532221,0.3982428025346778,0.3982428025346778,0,,-0.010175719746532221,0.0,0.5,1.0,1.0,neutral,2019-01-02,2018-12-31
GTT.PA,core,1.2845074965494399,0.0,Energy,0.09248366622924804,0.10641961965827018,0.013935953429022138,4624.183311462402,5320.980982913509,696.7976714511069,688.7081527709961,BUY,14,0.6887081527709961,2.0661244583129883,0.6887081527709961,3.44354076385498,10.0,0.099964801982692,0.04583333333333334,0.015,0.084964801982692,0.03913146864935867,0.31713105823132515,0.37547746383316216,0.003736780090932479,0.038669654762287564,0.32955132746606297,0.3883486506542435,-0.04276550697690196,0.1757889894746809,0.0033994151013132523,50.15382459135312,0.17391304347826086,0.36231884057971014,-0.14823927371371273,-0.11449667076820906,False,REJECT_DEADBAND,,,,,False,True,-0.023740912147407527,0.2625908785259247,0.2625908785259247,0,,-0.023740912147407527,0.0,0.5,1.0,1.0,neutral,2019-01-02,2018-12-31
ORA.PA,core,0.6844590795515604,0.0,Communication,0.03994814594268798,0.04606432097146659,0.006116175028778606,1997.407297134399,2303.2160485733293,305.80875143893036,298.25538825988764,BUY,33,0.2982553882598876,0.894766164779663,0.1491276941299438,1.3421492471694942,10.0,0.08246338982025385,0.04583333333333334,0.013499999999999996,0.06896338982025385,0.023130056486920514,0.059963233198120136,-0.01939103523433161,0.060526357722365365,-0.03832428604238913,0.157079080934813,0.15193981265475984,-0.04720517588090101,0.013883876159554553,-0.020385726934166848,35.44666216341335,0.17391304347826086,0.36231884057971014,-0.14823927371371273,-0.11449667076820906,False,REJECT_SMALL_ORDER,,,,,False,True,-0.012089027009436882,0.3791097299056312,0.3791097299056312,0,,-0.012089027009436882,0.0,0.5,1.0,1.0,neutral,2019-01-02,2018-12-31
PAEEM.PA,monetary,0.20893989632117801,0.003,ETF,0.0,0.14762029548640898,0.14762029548640898,0.0,7381.014774320449,7381.014774320449,0.0,BUY,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.17391304347826086,0.36231884057971014,-0.14823927371371273,-0.11449667076820906,False,REJECT_ZERO_SHARES,,,,,False,True,-0.014644270880590098,0.353557291194099,0.353557291194099,0,,-0.014644270880590098,0.0,0.5,1.0,1.0,neutral,2019-01-02,2018-12-31
RI.PA,core,0.7091196240190208,0.0,Consumer,0.046404364013671866,0.05244237157646123,0.006038007562789362,2320.2182006835933,2622.1185788230614,301.9003781394681,232.02182006835935,BUY,2,0.23202182006835936,0.6960654602050781,0.11601091003417968,1.0440981903076172,10.0,0.08318265570055479,0.04583333333333334,0.013500000000000002,0.06968265570055479,0.023849322367221454,0.0887083984766257,0.05143804827370424,0.023905704179500553,0.021018911561979214,0.23465938658541827,0.2819111701676379,-0.03696241159868874,0.045249044991023224,0.003712269059779283,60.11453628329123,0.17391304347826086,0.36231884057971014,-0.14823927371371273,-0.11449667076820906,False,REJECT_SMALL_ORDER,,,,,False,True,-0.012089027009436882,0.3791097299056312,0.3791097299056312,0,,-0.012089027009436882,0.0,0.5,1.0,1.0,neutral,2019-01-02,2018-12-31
SAN.PA,core,0.7869474114375815,0.0,Healthcare,0.04810329162597656,0.056118316418490036,0.008015024792513474,2405.164581298828,2805.915820924502,400.75123962567386,343.5949401855469,BUY,6,0.34359494018554687,1.0307848205566406,0.17179747009277344,1.5461772308349608,10.0,0.08545263283359614,0.04583333333333334,0.013499999999999998,0.07195263283359614,0.026119299500262802,0.138475837302646,0.06638466483546934,-0.02424549930761566,-0.04070010363145693,0.21466403138950615,0.2365863577849179,-0.056726210614964745,0.05649848407741631,-0.017492001743613095,46.40256615878112,0.17391304347826086,0.36231884057971014,-0.14823927371371273,-0.11449667076820906,False,REJECT_DEADBAND,,,,,False,True,-0.013017126547169354,0.36982873452830645,0.36982873452830645,0,,-0.013017126547169354,0.0,0.5,1.0,1.0,neutral,2019-01-02,2018-12-31
SCR.PA,core,1.1636676900714564,0.0,Financials,0.07654152679443359,0.08808334768017,0.011541820885736409,3827.0763397216797,4404.1673840084995,577.0910442868199,562.0182037353516,BUY,21,0.5620182037353516,1.6860546112060548,0.5620182037353516,2.810091018676758,10.0,0.09644030762708415,0.04583333333333334,0.015,0.08144030762708415,0.035606974293750815,0.30686062920404944,0.2397735151877034,-0.03265398450641077,-0.07294112679258768,0.23486732150992906,0.3034630652758482,-0.09612288186989126,0.09392178941324869,-0.007606633154404685,40.61437258122422,0.17391304347826086,0.36231884057971014,-0.14823927371371273,-0.11449667076820906,False,REJECT_DEADBAND,,,,,False,True,-0.014149790330975959,0.3585020966902404,0.3585020966902404,0,,-0.014149790330975959,0.0,0.5,1.0,1.0,neutral,2019-01-02,2018-12-31
