categorie,indicateur,valeur
Metrics globales,Performance totale,0.998464024549055
Metrics globales,CAGR,0.09935412245220254
Metrics globales,Volatilité annualisée,0.16535206361974827
Metrics globales,Sharpe,0.6562646507740735
Metrics globales,Max drawdown,-0.36776557340075866
Metrics globales,Performance benchmark,0.781624218336666
Metrics globales,CAGR benchmark,0.08221513739652231
Metrics globales,Performance active,0.21683980621238907
Metrics globales,Tracking error,0.06073896445144392
Metrics globales,Information ratio,0.2685438012778906
Metrics globales,Turnover moyen de rebalance,0.0785546443525401
Metrics globales,Turnover total,2.278084686223663
Metrics globales,Coûts totaux payés,506.7354542946816
Metrics globales,Coûts / capital initial,0.010134709085893631
Metrics globales,Nombre d'ordres,2493.0
Metrics globales,Nombre d'ordres exécutés,673.0
