element,valeur
Date de début,2019-01-02
Date de fin,2026-03-10
Valeur finale portefeuille,99923.20122745275
Valeur finale benchmark,89081.2109168333
Valeur finale poche core,72281.34565210342
Valeur finale poche monétaire,27640.11375427246
Valeur finale poche opportuniste,0.0
Cash final core,0.0
Cash final monétaire,0.0
Cash final opportuniste,0.0
Nombre final positions core,31.0
Nombre final positions monétaires,3.0
Nombre final positions opportunistes,0.0
Coûts cumulés payés,506.7354542946815
Poids final core,0.7233689950302048
Poids final monétaire,0.2766135733717732
Poids final opportuniste,0.0
