ticker,bucket,rank,score,target_weight_raw,target_weight_final,reason,trade_quality_signal,annual_fee_rate,deployment_ml_signal,deployment_ml_proba,core_deployment_multiplier_ml,opp_deployment_multiplier_ml,deployment_regime_ml
ENGI.PA,core,1,1.9352236353649324,0.23610232984959972,0.10000000000001136,ML_FALLBACK_SELECTION,0.11385144165363087,,0.0,0.0,1.0,1.0,neutral
GLE.PA,core,2,1.757115389850868,0.1968562922417189,0.1,ML_FALLBACK_SELECTION,0.09684244621502042,,0.0,0.0,1.0,1.0,neutral
ORA.PA,core,3,1.402103242668244,0.13069291799702992,0.06914464609921585,ML_FALLBACK_SELECTION,0.1441690359263993,,0.0,0.0,1.0,1.0,neutral
EN.PA,core,4,1.308807064148737,0.12051458103198667,0.06375967560416214,ML_FALLBACK_SELECTION,0.11245906799629174,,0.0,0.0,1.0,1.0,neutral
RXL.PA,core,5,1.091776691974313,0.08920191273392326,0.04719333520046153,ML_FALLBACK_SELECTION,0.09295380722194863,,0.0,0.0,1.0,1.0,neutral
RUI.PA,core,6,0.9835288088335897,0.0816999924901621,0.0432243548741427,ML_FALLBACK_SELECTION,0.10062729982529661,,0.0,0.0,1.0,1.0,neutral
IPN.PA,core,7,0.9860403535446267,0.07265070180806876,0.038436719773084715,ML_FALLBACK_SELECTION,0.15922832295508854,,0.0,0.0,1.0,1.0,neutral
GTT.PA,core,8,0.9802724077238627,0.07228127184751065,0.03824126844892179,ML_FALLBACK_SELECTION,0.15978827819153874,,0.0,0.0,1.0,1.0,neutral
PAEEM.PA,monetary,1,0.20893989632117801,0.08710003397302497,0.08710003397302496,PERMANENT_ETF,,0.003,0.0,0.0,1.0,1.0,neutral
ETDD.PA,monetary,2,0.10933662556479753,0.10725803900194132,0.10725803900194131,PERMANENT_ETF,,0.001,0.0,0.0,1.0,1.0,neutral
ESE.PA,monetary,3,0.0969397084524978,0.10564192702503375,0.10564192702503374,PERMANENT_ETF,,0.0014,0.0,0.0,1.0,1.0,neutral
