ticker,status,load_error,raw_rows,normalized_rows,raw_duplicate_dates,raw_missing_required_columns,min_date,max_date,max_gap_days,stale_days,file_path,required_by_pipeline
AC.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/AC.PA.csv,True
ACA.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/ACA.PA.csv,True
ADP.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/ADP.PA.csv,True
AF.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/AF.PA.csv,True
AI.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/AI.PA.csv,True
AIR.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/AIR.PA.csv,True
AKE.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/AKE.PA.csv,True
ALO.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/ALO.PA.csv,True
AMUN.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/AMUN.PA.csv,True
BEN.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/BEN.PA.csv,True
BN.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/BN.PA.csv,True
BNP.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/BNP.PA.csv,True
BVI.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/BVI.PA.csv,True
CA.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/CA.PA.csv,True
CAP.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/CAP.PA.csv,True
COFA.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/COFA.PA.csv,True
CS.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/CS.PA.csv,True
DEC.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/DEC.PA.csv,True
DG.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/DG.PA.csv,True
DSY.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/DSY.PA.csv,True
EDEN.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/EDEN.PA.csv,True
EL.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/EL.PA.csv,True
ELIS.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/ELIS.PA.csv,True
EN.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/EN.PA.csv,True
ENGI.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/ENGI.PA.csv,True
ERF.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/ERF.PA.csv,True
ESE.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/ESE.PA.csv,True
ETDD.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/ETDD.PA.csv,True
FR.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/FR.PA.csv,True
GET.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/GET.PA.csv,True
GLE.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/GLE.PA.csv,True
GTT.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/GTT.PA.csv,True
HO.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/HO.PA.csv,True
IPN.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/IPN.PA.csv,True
KER.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/KER.PA.csv,True
LR.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/LR.PA.csv,True
MC.PA,ok,,2097,2097,0,,2018-01-02,2026-03-10,5,0,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/MC.PA.csv,True
ML.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/ML.PA.csv,True
NEX.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/NEX.PA.csv,True
NK.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/NK.PA.csv,True
OR.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/OR.PA.csv,True
ORA.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/ORA.PA.csv,True
PAASI.PA,ok,,1762,1762,0,,2019-04-25,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/PAASI.PA.csv,True
PAEEM.PA,ok,,1762,1762,0,,2019-04-25,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/PAEEM.PA.csv,True
PALAT.PA,ok,,1762,1762,0,,2019-04-25,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/PALAT.PA.csv,True
PANX.PA,ok,,1762,1762,0,,2019-04-25,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/PANX.PA.csv,True
PINR.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/PINR.PA.csv,True
PLEM.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/PLEM.PA.csv,True
PUB.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/PUB.PA.csv,True
PUST.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/PUST.PA.csv,True
RCO.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/RCO.PA.csv,True
RI.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/RI.PA.csv,True
RMS.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/RMS.PA.csv,True
RNO.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/RNO.PA.csv,True
RUI.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/RUI.PA.csv,True
RXL.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/RXL.PA.csv,True
SAN.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/SAN.PA.csv,True
SCR.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/SCR.PA.csv,True
SESG.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/SESG.PA.csv,True
SGO.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/SGO.PA.csv,True
SPIE.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/SPIE.PA.csv,True
STMPA.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/STMPA.PA.csv,True
SU.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/SU.PA.csv,True
SW.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/SW.PA.csv,True
TEP.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/TEP.PA.csv,True
TFI.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/TFI.PA.csv,True
TTE.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/TTE.PA.csv,True
UBI.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/UBI.PA.csv,True
VIE.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/VIE.PA.csv,True
VIV.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/VIV.PA.csv,True
VK.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/VK.PA.csv,True
WLN.PA,ok,,2096,2096,0,,2018-01-02,2026-03-09,5,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/WLN.PA.csv,True
^STOXX,ok,,2054,2054,0,,2018-01-03,2026-03-09,6,1,/Users/clement/Desktop/PEA BoursoBank Python/data/raw/prices/^STOXX.csv,True
