date,benchmark_value,general_cash,core_cash,monetary_cash,opp_cash,core_positions_value,monetary_positions_value,opp_positions_value,core_total_value,monetary_total_value,opp_total_value,portfolio_value,daily_turnover,costs_paid_this_day,cumulative_costs_paid,num_core_positions,num_monetary_positions,num_opp_positions
2018-12-31,50000.0,22.714823246002197,0.0,0.0,0.0,24995.982362747192,14994.152893543243,9987.149920463562,24995.982362747192,14994.152893543243,9987.149920463562,50000.0,0.0,0.0,0.0,8,2,1
2019-01-02,49370.40772010842,22.714823246002197,0.0,0.0,0.0,24874.938696861267,14973.228715896606,10013.559994697569,24874.938696861267,14973.228715896606,10013.559994697569,49884.44223070145,0.0,0.0,0.0,8,2,1
2019-01-03,48085.483065488326,22.714823246002197,0.0,0.0,0.0,24930.37006187439,14717.817707061768,9791.854825019836,24930.37006187439,14717.817707061768,9791.854825019836,49462.757417201996,0.0,0.0,0.0,8,2,1
2019-01-04,49508.180591778626,22.714823246002197,0.0,0.0,0.0,25288.885212898254,15105.57664012909,10005.21993637085,25288.885212898254,15105.57664012909,10005.21993637085,50422.396612644196,0.0,0.0,0.0,8,2,1
2019-01-07,49311.233124584316,22.714823246002197,0.0,0.0,0.0,25301.291153907776,15129.013785362244,9878.729825019836,25301.291153907776,15129.013785362244,9878.729825019836,50331.74958753586,0.0,0.0,0.0,8,2,1
2019-01-08,50266.51501436754,22.714823246002197,0.0,0.0,0.0,25324.15979385376,15202.053013801575,9895.409941673279,25324.15979385376,15202.053013801575,9895.409941673279,50444.337572574615,0.0,0.0,0.0,8,2,1
2019-01-09,50802.080745554216,22.714823246002197,0.0,0.0,0.0,25362.042115211487,15307.935421943665,9845.370254516602,25362.042115211487,15307.935421943665,9845.370254516602,50538.062614917755,0.0,0.0,0.0,8,2,1
2019-01-10,50630.56209394629,22.714823246002197,0.0,0.0,0.0,25518.029146194458,15327.561233520508,9817.570281028748,25518.029146194458,15327.561233520508,9817.570281028748,50685.875483989716,0.0,0.0,0.0,8,2,1
2019-01-11,50498.31063480813,22.714823246002197,0.0,0.0,0.0,25592.53499698639,15343.37315940857,9857.184729576113,25592.53499698639,15343.37315940857,9857.184729576113,50815.80770921707,0.0,0.0,0.0,8,2,1
2019-01-14,49900.60033620719,22.714823246002197,0.0,0.0,0.0,25482.485144615173,15293.303354263306,9750.849814414978,25482.485144615173,15293.303354263306,9750.849814414978,50549.35313653946,0.0,0.0,0.0,8,2,1
2019-01-15,50113.021636713565,22.714823246002197,0.0,0.0,0.0,25602.17690372467,15420.065153121948,9891.240243911743,25602.17690372467,15420.065153121948,9891.240243911743,50936.197124004364,0.0,0.0,0.0,8,2,1
2019-01-16,50311.63012143447,22.714823246002197,0.0,0.0,0.0,25622.090413093567,15517.39385509491,9966.300106048584,25622.090413093567,15517.39385509491,9966.300106048584,51128.49919748306,0.0,0.0,0.0,8,2,1
2019-01-17,50387.32682451157,22.714823246002197,0.0,0.0,0.0,25762.052377700806,15509.449174880981,9966.300106048584,25762.052377700806,15509.449174880981,9966.300106048584,51260.51648187637,0.0,0.0,0.0,8,2,1
