execute,raison_decision,nombre,volume_total,volume_moyen
True,NEW_ENTRY,302,1074275.8956418037,3557.204952456304
True,EXIT_NON_TARGET,237,1008194.7666187286,4253.986357041049
True,NEW_OPP_ENTRY,78,351199.4583244324,4502.557158005543
True,KEEP_TOP_RANK,73,260179.16949748993,3564.0982122943824
True,KEEP_OPP,58,196549.4122390747,3388.782969639219
True,KEEP_BUFFER_ZONE,29,115524.41346263885,3983.600464228926
True,PERMANENT_ETF,17,41602.02372074127,2447.177865925957
True,INIT_PERMANENT_ETF,1,3740.207960128785,3740.207960128785
False,ML_REJECT_NEGATIVE_NET_EDGE,261,680055.0209288597,2605.57479283088
False,REJECT_DEADBAND,256,216114.18212413788,844.1960239224136
False,REJECT_SMALL_ORDER,254,34618.31965470314,136.2925970657604
False,REJECT_ZERO_SHARES,35,0.0,0.0
