categorie,indicateur,valeur
Metrics globales,Performance totale,0.6292010325919628
Metrics globales,CAGR,0.06905436942659637
Metrics globales,Volatilité annualisée,0.1792598123114113
Metrics globales,Sharpe,0.46308031650174614
Metrics globales,Max drawdown,-0.3882606153768463
Metrics globales,Performance benchmark,0.952016086568598
Metrics globales,CAGR benchmark,0.09582296832157922
Metrics globales,Performance active,-0.32281505397663524
Metrics globales,Tracking error,0.11660739989448989
Metrics globales,Information ratio,-0.2482032987665898
Metrics globales,Turnover moyen de rebalance,0.43335989387363394
Metrics globales,Turnover total,37.26895087313253
Metrics globales,Coûts totaux payés,7140.145592157841
Metrics globales,Coûts / capital initial,0.14280291184315683
Metrics globales,Nombre d'ordres,1601.0
Metrics globales,Nombre d'ordres exécutés,795.0
